customer_id,name,email,age,gender,country,city,device,acquisition_channel,loyalty_status
1,Christopher Moore,wmoore@hotmail.com,56,Other,Canada,North Juanshire,Mobile,Organic,Returning
2,Lindsay Valencia,jody98@webb.com,69,Other,UK,Maryland,Desktop,Paid Ads,New
3,Jose Barnes,parsonsanne@hotmail.com,46,Other,India,Melissabury,Tablet,Paid Ads,Returning
4,Susan Maddox,brandonhill@gonzalez.com,32,Male,India,Murphyfort,Desktop,Organic,New
5,Nicole Rangel,tracypace@gmail.com,60,Other,India,Martinezmouth,Tablet,Paid Ads,New
6,Michele Miller,sarahbrown@mueller.info,25,Male,India,Williamsbury,Tablet,Email,Returning
7,Patrick Rice,carlagates@ward.info,38,Female,India,Lake Nicholasview,Mobile,Social Media,Loyal
8,Paul Foster,fbishop@bolton-hall.com,56,Other,India,South John,Tablet,Social Media,New
9,Thomas Holder,briananderson@gmail.com,36,Male,India,Matthewsshire,Desktop,Organic,Loyal
10,James Lee,ajackson@lee-moore.com,40,Male,UK,Christophershire,Tablet,Referral,Returning
11,Monique Garcia,jonesanthony@johnson-parks.info,28,Other,USA,Lake Nancy,Tablet,Organic,Loyal
12,Cynthia Caldwell,michael87@nelson.biz,28,Female,Australia,Daviston,Mobile,Paid Ads,Loyal
13,Thomas Green,judithcollins@martin.com,41,Female,Canada,East Albertside,Tablet,Referral,Loyal
14,Sara Carr,andradestephen@mcgee.com,53,Female,Australia,Daleville,Tablet,Paid Ads,Loyal
15,Kenneth Castro,boothzachary@wheeler.com,57,Male,Australia,Welchchester,Desktop,Email,Loyal
16,Kelly Flores,andrewilliams@yahoo.com,41,Male,USA,Scottchester,Mobile,Paid Ads,New
17,Jose Martinez,fhaley@mills-johnson.net,20,Male,USA,North Dustin,Mobile,Email,New
18,Jennifer Garcia,angela94@yahoo.com,39,Male,USA,Nixonhaven,Mobile,Email,New
19,Adam Calderon,qtyler@henderson.com,19,Female,India,Anneberg,Tablet,Paid Ads,Returning
20,Catherine Vasquez,stephaniesalazar@gmail.com,41,Other,UK,Gonzalezfort,Mobile,Paid Ads,Loyal
21,Matthew Martinez,uball@allen-wright.biz,61,Male,India,South Jenniferland,Tablet,Email,New
22,Angela King,collin86@morgan.info,47,Male,UK,Richardbury,Tablet,Referral,Returning
23,Amanda Baird DDS,jasoncase@yahoo.com,55,Female,UK,New Antonio,Desktop,Email,New
24,Bonnie Blair,marcsmith@hotmail.com,19,Other,Australia,Chenton,Desktop,Social Media,New
25,Nina Ramirez,danielkaiser@mitchell.info,38,Other,Australia,Goodville,Desktop,Email,Loyal
26,Laura Harrison MD,shelly09@yahoo.com,50,Female,UK,Thomasview,Desktop,Referral,Returning
27,Spencer Hernandez,meghanmeyer@gmail.com,29,Female,UK,Laraburgh,Desktop,Social Media,Loyal
28,Samantha Werner,reneecarr@hotmail.com,39,Other,India,East Thomas,Tablet,Organic,Loyal
29,Jacob Beasley,terryharrington@yahoo.com,61,Male,India,Charlesland,Tablet,Organic,New
30,Sarah Kemp,ambercollins@yahoo.com,42,Other,Australia,East Diana,Mobile,Referral,Loyal
31,Darren Scott,andersoncynthia@yahoo.com,66,Female,USA,Holtfort,Tablet,Email,Returning
32,Alexander French,geoffrey08@hotmail.com,44,Male,UK,Riosmouth,Tablet,Paid Ads,Loyal
33,Julie Sanchez,gary12@gmail.com,59,Male,India,Meyersside,Desktop,Referral,Loyal
34,Lori Robbins,vdiaz@yahoo.com,45,Female,Australia,Georgechester,Tablet,Social Media,Loyal
35,Ryan Jordan,powellbobby@gmail.com,33,Female,India,Ortegaville,Desktop,Social Media,New
36,Bianca Thompson,craig69@lopez.com,32,Female,UK,Port Brenda,Mobile,Organic,Returning
37,Christopher Reid,reedjamie@barr.org,64,Other,UK,Richardsonton,Mobile,Social Media,New
38,Emily Ford,agordon@yahoo.com,68,Other,Canada,Lichester,Tablet,Referral,New
39,William Odonnell,fbrown@george-dennis.com,61,Male,USA,Port Ivan,Mobile,Social Media,New
